x	u0	u1
         -3.69140625	(0.02044489684740943+0.1055377282007231j)	(0.020036198048805135+0.10562154487574883j)
           -3.671875	(0.020993269893968686+0.10731865661863983j)	(0.020670692535645595+0.10742076100862723j)
         -3.65234375	(0.021553561195206985+0.1091185615279793j)	(0.021300211664218468+0.10925811983525774j)
          -3.6328125	(0.02214152958040966+0.11097526536700632j)	(0.021881826087805333+0.1111219478306472j)
         -3.61328125	(0.022723776315717828+0.1128990539662606j)	(0.022479405012193858+0.11303750648316002j)
            -3.59375	(0.023296552360630142+0.11483462198097462j)	(0.023097224115083338+0.11500017118210992j)
         -3.57421875	(0.023919869577196398+0.11677261238681191j)	(0.023737574918230198+0.11694853143682091j)
          -3.5546875	(0.024597726642080084+0.11874953429217554j)	(0.024411480385040277+0.11890429409455482j)
         -3.53515625	(0.025336196823687346+0.12074392630453537j)	(0.025079346165871652+0.12094283811747285j)
           -3.515625	(0.026088123122793433+0.12273013512823278j)	(0.025794234414699517+0.1229729180987675j)
         -3.49609375	(0.026828433327967458+0.12477996203850335j)	(0.026538371862428745+0.1249998371789115j)
          -3.4765625	(0.027590630886060716+0.126885233236847j)	(0.027307486497928343+0.12708728561062793j)
         -3.45703125	(0.028385404542881826+0.1290295392077866j)	(0.028083245877390403+0.12921100325470658j)
             -3.4375	(0.029208249973647973+0.1312286902396537j)	(0.02883306923472355+0.13133640809912842j)
         -3.41796875	(0.030025595768576385+0.13352286607058672j)	(0.02958571350202456+0.13349384562125122j)
          -3.3984375	(0.030817681605306374+0.13580844731448796j)	(0.030367802969303595+0.13570179903778642j)
         -3.37890625	(0.03163399423496671+0.13812105483775164j)	(0.031162027377788268+0.1380083818969951j)
           -3.359375	(0.03245349466105693+0.14042804300208886j)	(0.03198894186950112+0.14041512760941424j)
         -3.33984375	(0.033243944780313325+0.14276869719736868j)	(0.03282685253229914+0.14287885982333132j)
          -3.3203125	(0.03404253377376358+0.1452028450685815j)	(0.03368794349361502+0.14538199215464698j)
         -3.30078125	(0.03487091103832514+0.14767891775606642j)	(0.034508882325980955+0.14789069289529905j)
            -3.28125	(0.035729079704663005+0.1502058507940996j)	(0.035355914084884255+0.1504458823270055j)
         -3.26171875	(0.0365903250756269+0.15280928485772008j)	(0.03620697604461126+0.1530696278403042j)
          -3.2421875	(0.0374411186421752+0.1554472191838592j)	(0.037115591061982284+0.1556999947170971j)
         -3.22265625	(0.03834247461380855+0.15809258241425303j)	(0.038064206248280386+0.15833929665332383j)
           -3.203125	(0.039307988745904715+0.1607890764187628j)	(0.039022486225002345+0.16106448411896815j)
         -3.18359375	(0.040340805092254906+0.16353418517959892j)	(0.04001294892772761+0.16380861528562318j)
          -3.1640625	(0.04142657304743405+0.1662823640008454j)	(0.041066280537019856+0.16655028426260154j)
         -3.14453125	(0.04250530018790738+0.16907319441999275j)	(0.042132035193197026+0.1693509835097357j)
              -3.125	(0.04360447923167772+0.17193890807202938j)	(0.04323860320128763+0.1722084673730459j)
         -3.10546875	(0.04473874391142677+0.174861088479074j)	(0.0442992044084855+0.17508268400745347j)
          -3.0859375	(0.04591335904306224+0.1778204536777094j)	(0.04538224452529233+0.1779968329748141j)
         -3.06640625	(0.047121718139961834+0.18089562550942564j)	(0.04647309994438108+0.18096255231180625j)
           -3.046875	(0.0483048938338078+0.18401693027177163j)	(0.04762771046896464+0.18402377242958698j)
         -3.02734375	(0.049486877097794986+0.18717037988563182j)	(0.048817792339106617+0.18719161862961847j)
