x	u0	u1
           13.359375	  0.2479029456518185	  0.2486238280492883
          13.4765625	  0.2456098660439571	  0.2466870795302472
            13.59375	  0.2425201500849242	  0.2439352333535753
          13.7109375	  0.2386790627673928	  0.2404078178969496
           13.828125	  0.2341301914068588	  0.2361492337348483
          13.9453125	   0.228921897987302	  0.2312195308600627
             14.0625	  0.2231302325463279	  0.2256733217889394
          14.1796875	  0.2168241355666628	  0.2195810131550924
           14.296875	  0.2100721429376624	  0.2130087187492326
          14.4140625	  0.2029442551160777	   0.206031296344702
            14.53125	  0.1955111331258121	  0.1987174020487618
          14.6484375	  0.1878430023265287	  0.1911413553582975
           14.765625	  0.1800117656098558	   0.183372374145575
          14.8828125	  0.1720795447762141	  0.1754765599884944
                  15	  0.1641124631446059	  0.1675161423621117
          15.1171875	  0.1561639777381767	  0.1595581493693803
           15.234375	  0.1482818195432982	  0.1516373001440324
          15.3515625	  0.1405083085742412	  0.1438037981743473
            15.46875	  0.1328839235505293	  0.1361065091087429
          15.5859375	  0.1254460915127805	  0.1285840709397591
           15.703125	  0.1182189028773429	  0.1212669643421518
          15.8203125	  0.1112203917022234	   0.114180421942829
             15.9375	  0.1044826684722494	  0.1073315071648404
          16.0546875	 0.09801661186266636	  0.1007465016748039
           16.171875	 0.09182910055991209	 0.09443498134951323
          16.2890625	 0.08591975997243459	 0.08840256057341603
            16.40625	 0.08029038094834112	 0.08265171553664906
          16.5234375	 0.07494996425623641	 0.07719042042088176
           16.640625	  0.0698920543837532	 0.07201251264756342
          16.7578125	 0.06511076949893321	 0.06711752662279931
              16.875	 0.06060930036201768	  0.0624970459163614
          16.9921875	 0.05637053154351537	 0.05814664840821967
           17.109375	  0.0523891603550302	 0.05405095976285972
          17.2265625	 0.04865149842343094	 0.05020922476720735
            17.34375	 0.04514524916524819	 0.04661297836263999
          17.4609375	 0.04187314777570236	 0.04325057325567121
           17.578125	 0.03881701669930701	 0.04010078499389361
          17.6953125	 0.03595455237993488	 0.03716164806831748
             17.8125	 0.03329452245099612	 0.03441835325971564
          17.9296875	 0.03082274390868714	 0.03186047966863048
           18.046875	 0.02851417780072963	 0.02947749480040805
          18.1640625	  0.0263666041263885	 0.02726343121563892
            18.28125	 0.02437905915407162	 0.02520479134015189
          18.3984375	 0.02253242877621339	 0.02330049341902744
           18.515625	  0.0208192040841221	 0.02153034376311068
          18.6328125	 0.01923064475814812	 0.01988630413664339
               18.75	 0.01775564150980456	 0.01836320173660903
          18.8671875	  0.0163915116184605	 0.01696113647232811
           18.984375	 0.01513074158566492	 0.01565952959793218
          19.1015625	 0.01395860147349157	 0.01445105732839688
            19.21875	  0.0128785263943733	  0.0133335793660059
          19.3359375	 0.01188026128148004	 0.01230494443793374
           19.453125	 0.01095443236278716	 0.01134486920451611
          19.5703125	 0.01010343046595788	 0.01045964978540606
             19.6875	0.009318282496183161	0.009646057337944346
          19.8046875	0.008588830858670383	0.008893571665577804
           19.921875	0.007917116516189787	0.008194350998068332
          20.0390625	0.007296293890993885	0.007554482267897296
            20.15625	0.006721564374832567	0.006959213123380673
          20.2734375	  0.0061904248656127	0.006412169162671719
           20.390625	0.005707081990654922	0.005906386383185989
          20.5078125	0.005260528104624476	0.005443603739605327
              20.625	 0.00484327233401978	0.005018294517742994
          20.7421875	0.004464391533534194	0.004621707431161609
           20.859375	0.004113193684702234	0.004249715902563657
          20.9765625	0.003780872295700829	0.003915985918085924
            21.09375	0.003483497531428133	0.003604711496141354
          21.2109375	0.003207846426959371	0.003317708841050711
           21.328125	0.002948766522240652	0.003053631856913049
          21.4453125	0.002714102151809103	0.002811365335184605
             21.5625	0.002494917208797472	0.002584226125940184
          21.6796875	0.002290175964326027	0.002376801891811373
           21.796875	0.002107541306080249	0.002184162626575392
          21.9140625	0.001941187541564471	0.002014919683882878
            22.03125	0.001788709529765703	0.001853107193612084
          22.1484375	0.001646021850620662	0.001700750130963907
           22.265625	0.001513141740925303	0.001565785308098797
          22.3828125	0.001394164100115156	0.001447625089925651
                22.5	0.001288101884490163	0.001333839443061435
          22.6171875	0.001185106158902391	 0.00123020406083174
           22.734375	0.001089970964914477	0.001128014603326108
          22.8515625	0.001002741697933436	0.001038152407011739
            22.96875	0.000915406660691221	0.0009557061990507851
          23.0859375	0.0008361785424730577	0.0008801690292015493
           23.203125	0.000773077369413927	0.0008058177584643958
          23.3203125	0.0007122653889879982	0.0007400921713448683
             23.4375	0.0006551710391288212	0.0006809742611572009
          23.5546875	0.0006081254773338367	0.0006292391883043653
           23.671875	0.0005599296827556374	0.000575064970434757
          23.7890625	0.0005108814621353902	0.0005266685527456315
            23.90625	0.0004752943174153139	0.0004842748525855783
          24.0234375	0.0004408130811218158	0.0004522575658062397
           24.140625	0.0004040602659335299	0.0004121985024256869
          24.2578125	0.0003713405208475642	0.0003745843798594745
              24.375	0.0003380214691087527	0.0003472009433247922
          24.4921875	0.0003051270906687595	0.0003252622446458658
           24.609375	0.000277847393871121	0.0002954837883948902
          24.7265625	0.0002552570463889639	0.0002718755220158658
            24.84375	0.0002364978619632321	0.0002487476479438311
          24.9609375	0.0002170176500694426	0.0002274535523567045
           25.078125	0.0001984972606280944	0.0002104227306832795
          25.1953125	0.0001806697180564004	0.0002011953103300823
             25.3125	0.0001684445280419333	0.0001817781556516379
          25.4296875	0.000160249027397863	0.0001622917126190004
           25.546875	0.000146712474438343	0.000143596031634885
          25.6640625	0.0001313703171553771	0.0001332866229546287
            25.78125	0.0001210594055128106	0.0001224665164421546
          25.8984375	0.0001096065702291399	0.0001090021920179124
           26.015625	9.831148602319761e-05	9.419861318130107e-05
          26.1328125	9.013561225103273e-05	8.700087662333322e-05
               26.25	8.242714293971165e-05	7.847963119153589e-05
          26.3671875	7.21103054634048e-05	7.615422998746846e-05
           26.484375	6.369267654887656e-05	6.55163762248584e-05
          26.6015625	5.719969702219774e-05	5.708074797633467e-05
            26.71875	4.906864948284184e-05	5.247662739325809e-05
          26.8359375	3.994783287240844e-05	4.484926423574398e-05
           26.953125	3.487094309999328e-05	3.396327524940457e-05
          27.0703125	3.402530691233585e-05	3.649039279798871e-05
             27.1875	3.175248336645398e-05	3.671222022386122e-05
          27.3046875	2.562703320717341e-05	3.507496654261977e-05
           27.421875	2.427195295563733e-05	2.910569319442002e-05
          27.5390625	2.317290088986457e-05	2.586005001198322e-05
            27.65625	1.836330901354433e-05	2.074245583977286e-05
          27.7734375	1.791484540775157e-05	2.456172102835441e-05
           27.890625	2.032542452370945e-05	2.59729110299034e-05
          28.0078125	1.846670924612881e-05	2.318662812009209e-05
              28.125	1.41167819485144e-05	1.733197079894361e-05
          28.2421875	1.293558024421243e-05	1.780672413403961e-05
           28.359375	1.56312911433823e-05	1.398166016708391e-05
          28.4765625	1.324783012062597e-05	9.769388096901588e-06
            28.59375	7.582002596387416e-06	2.934083573796764e-06
          28.7109375	5.926766991702637e-06	6.774406405590794e-06
           28.828125	9.921416107130931e-06	1.090005275662664e-05
          28.9453125	1.175161865238361e-05	1.197510767488724e-05
             29.0625	6.713119394784195e-06	3.300105926112851e-06
          29.1796875	3.799783798111994e-06	-1.815970064558692e-06
           29.296875	2.47607345884443e-06	-5.086711863722115e-06
          29.4140625	-2.804788309943712e-06	-5.140083335422596e-06
